Year,Month,Device group name ,B/W print - Pages - count ,B/W copy - Pages - count ,Scan - Pages - count ,Color print  - Pages - count ,Color copy  - Pages - count ,B/W print A3  - Pages - count ,B/W copy A3  - Pages - count ,Color print A3  - Pages - count ,Color copy A3  - Pages - count ,Total - Pages - count 
2013,October 2013,Konica Minolta Bishub 36,160001.00,22408.00,13963.00,0.00,0.00,0.00,0.00,0.00,0.00,196372.00
2013,March 2013,Konica Minolta Bishub 36,149265.00,23234.00,14000.00,0.00,0.00,0.00,0.00,0.00,0.00,186499.00
2013,January 2013,Konica Minolta Bishub 36,143883.00,22840.00,15222.00,0.00,0.00,0.00,0.00,0.00,0.00,181945.00
2013,April 2013,Konica Minolta Bishub 36,137792.00,22947.00,14402.00,0.00,0.00,0.00,0.00,0.00,0.00,175141.00
2013,May 2013,Konica Minolta Bishub 36,136302.00,25207.00,13065.00,0.00,0.00,0.00,0.00,0.00,0.00,174574.00
2013,September 2013,Konica Minolta Bishub 36,133908.00,20667.00,11443.00,0.00,0.00,0.00,0.00,0.00,0.00,166018.00
2013,November 2013,Konica Minolta Bishub 36,126123.00,18872.00,11988.00,0.00,0.00,0.00,0.00,0.00,0.00,156983.00
2013,February 2013,Konica Minolta Bishub 36,122089.00,18640.00,13769.00,0.00,0.00,0.00,0.00,0.00,0.00,154498.00
2013,July 2013,Konica Minolta Bishub 36,114447.00,20331.00,14668.00,0.00,0.00,0.00,0.00,0.00,0.00,149446.00
2014,October 2014,Konica Minolta Bishub 36,114748.00,17221.00,15427.00,0.00,0.00,0.00,0.00,0.00,0.00,147396.00
2014,January 2014,Konica Minolta Bishub 36,118644.00,17339.00,10672.00,0.00,0.00,0.00,0.00,0.00,0.00,146655.00
2015,January 2015,Konica Minolta Bishub 36,110554.00,12646.00,12127.00,0.00,0.00,0.00,0.00,0.00,0.00,135327.00
2013,June 2013,Konica Minolta Bishub 36,105618.00,17601.00,11505.00,0.00,0.00,0.00,0.00,0.00,0.00,134724.00
2014,November 2014,Konica Minolta Bishub 36,106767.00,14224.00,11821.00,0.00,0.00,0.00,0.00,0.00,0.00,132812.00
2014,September 2014,Konica Minolta Bishub 36,96709.00,15767.00,12528.00,0.00,0.00,0.00,0.00,0.00,0.00,125004.00
2015,March 2015,Konica Minolta Bishub 36,99731.00,12121.00,12979.00,0.00,0.00,0.00,0.00,0.00,0.00,124831.00
